tmin	tier	text	tmax
29.196145	phone	S	29.355782
29.355782	phone	EH1	29.385714
29.385714	phone	L	29.595238
29.595238	phone	F	29.625170
29.625170	phone	AH0	29.655102
29.625170	word	AND	29.685034
29.655102	phone	N	29.685034
29.685034	phone	AH0	29.714966
29.685034	word	IT	29.744898
29.714966	phone	T	29.744898
29.744898	phone	W	29.774830
29.744898	word	WAS	29.884580
29.774830	phone	AH0	29.804762
29.804762	phone	Z	29.884580
29.884580	phone	AE1	29.914512
29.884580	word	AT	29.944444
29.914512	phone	T	29.944444
29.944444	phone	W	30.024263
29.944444	word	ONE	30.084127
30.024263	phone	AH1	30.054195
30.054195	phone	N	30.084127
30.084127	phone	AH1	30.173923
30.084127	word	OF	30.203855
30.173923	phone	V	30.203855
30.203855	phone	DH	30.233787
30.203855	word	THESE	30.443311
30.233787	phone	IY1	30.343537
30.343537	phone	Z	30.443311
30.443311	phone	G	30.503175
30.443311	word	GAMES	30.872336
30.503175	phone	EY1	30.682766
30.682766	phone	M	30.742630
30.742630	phone	Z	30.872336
30.872336	phone	AH0	30.902268
30.872336	word	IN	30.932200
30.902268	phone	N	30.932200
30.932200	phone	DH	30.962132
30.932200	word	THE	31.161678
30.962132	phone	AH1	31.161678
31.161678	phone	sp	31.550794
31.161678	word	sp	31.550794
31.550794	phone	F	31.590703
31.550794	word	FALL	31.850113
31.590703	phone	AA1	31.750340
31.750340	phone	L	31.850113
31.850113	phone	AH0	31.880045
31.850113	word	OF	31.909977
31.880045	phone	V	31.909977
31.909977	phone	N	31.969841
31.909977	word	NINETEEN	32.249206
31.969841	phone	AY1	32.009751
32.009751	phone	N	32.069615
32.069615	phone	T	32.129478
32.129478	phone	IY1	32.189342
32.189342	phone	N	32.249206
32.249206	phone	N	32.279138
32.249206	word	NINETY	32.488662
32.279138	phone	AY1	32.339002
32.339002	phone	N	32.378912
32.378912	phone	T	32.408844
32.408844	phone	IY0	32.488662
32.488662	phone	W	32.638322
32.488662	word	ONE	32.797959
32.638322	phone	AH1	32.768027
32.768027	phone	N	32.797959
32.797959	phone	DH	32.827891
32.797959	word	THAT	32.887755
32.827891	phone	AH0	32.857823
32.857823	phone	T	32.887755
32.887755	phone	AY1	32.997506
32.887755	word	I	32.997506
32.997506	phone	W	33.057370
32.997506	word	WENT	33.236961
33.057370	phone	EH1	33.087302
33.087302	phone	N	33.187075
33.187075	phone	T	33.236961
33.236961	word	sp	34.184807
33.236961	phone	sp	34.184807
34.184807	phone	AH1	34.334467
34.184807	word	UP	34.364399
34.334467	phone	P	34.364399
34.364399	phone	T	34.394331
34.364399	word	TO	34.434240
34.394331	phone	AH0	34.434240
34.434240	phone	DH	34.464172
34.434240	word	THE	34.494104
34.464172	phone	AH0	34.494104
34.494104	phone	S	34.553968
34.494104	word	STADIUM	35.022902
34.553968	phone	T	34.593878
34.593878	phone	EY1	34.703628
34.703628	phone	D	34.733560
34.733560	phone	IY0	34.823356
34.823356	phone	AH0	34.863265
34.863265	phone	M	35.022902
35.022902	phone	B	35.052834
35.022902	word	BOUGHT	35.342177
35.052834	phone	AA1	35.222449
35.222449	phone	T	35.342177
35.342177	phone	EY1	35.412018
35.342177	word	A	35.412018
35.412018	phone	T	35.461905
35.412018	word	TICKET	35.691383
35.461905	phone	IH1	35.591610
35.591610	phone	K	35.621542
35.621542	phone	AH0	35.651474
35.651474	phone	T	35.691383
35.691383	phone	sp	35.769263
35.691383	word	sp	35.769263
35.769263	phone	br	36.183031
35.769263	word	{BR}	36.183031
36.183031	phone	sp	36.250113
36.183031	word	sp	36.250113
36.250113	phone	T	36.300000
36.250113	word	TO	36.329932
36.300000	phone	AH0	36.329932
36.329932	phone	DH	36.369841
36.329932	word	THE	36.399773
36.369841	phone	AH0	36.399773
36.399773	phone	B	36.459637
36.399773	word	BLEACHERS	36.928571
36.459637	phone	L	36.499546
36.499546	phone	IY1	36.629252
36.629252	phone	CH	36.659184
36.659184	phone	ER0	36.828798
36.828798	phone	Z	36.928571
36.928571	phone	AH0	36.958503
36.928571	word	AND	37.028345
36.958503	phone	N	37.028345
37.028345	phone	W	37.078231
37.028345	word	WENT	37.197959
37.078231	phone	EH1	37.138095
37.138095	phone	N	37.168027
37.168027	phone	T	37.197959
37.197959	phone	AE1	37.257823
37.197959	word	AND	37.397506
37.257823	phone	N	37.397506
37.397506	phone	sp	37.567120
37.397506	word	sp	37.567120
37.567120	phone	S	37.686848
37.567120	word	SAT	37.916327
37.686848	phone	AE1	37.866440
37.866440	phone	T	37.916327
37.916327	phone	AH0	37.946259
37.916327	word	IN	37.986168
37.946259	phone	N	37.986168
37.986168	phone	DH	38.026077
37.986168	word	THE	38.085941
38.026077	phone	AH1	38.085941
38.085941	phone	B	38.115873
38.085941	word	BLEACHERS	38.504989
38.115873	phone	L	38.145805
38.145805	phone	IY1	38.235601
38.235601	phone	CH	38.295465
38.295465	phone	ER0	38.415193
38.415193	phone	Z	38.504989
38.504989	phone	AH0	38.534921
38.504989	word	AND	38.594785
38.534921	phone	N	38.594785
38.594785	phone	W	38.624717
38.594785	word	WAS	38.744444
38.624717	phone	AH0	38.654649
38.654649	phone	Z	38.744444
38.744444	phone	W	38.774376
38.744444	word	WATCHING	39.233333
38.774376	phone	AA1	38.934014
38.934014	phone	CH	39.033787
39.033787	phone	IH0	39.133560
39.133560	phone	NG	39.233333
39.233333	word	sp	39.405041
39.233333	phone	sp	39.405041
39.405041	phone	br	39.957198
39.405041	word	{BR}	39.957198
39.957198	word	sp	40.161224
39.957198	phone	sp	40.161224
40.161224	phone	AH1	40.620181
40.161224	word	UM	40.889569
40.620181	phone	M	40.889569
40.889569	word	sp	41.342903
40.889569	phone	sp	41.342903
41.342903	phone	DH	41.366667
